iter	Passed	Remaining
780	26602	314014
781	26649	314135
782	26684	314119
783	26717	314065
784	26750	314024
785	26786	314007
786	26819	313957
787	26856	313961
788	26894	313971
789	26930	313956
790	26963	313914
791	26996	313872
792	27029	313823
793	27063	313791
794	27099	313773
795	27135	313765
796	27171	313751
797	27204	313700
798	27236	313644
799	27267	313576
800	27296	313485
801	27329	313433
802	27359	313361
803	27389	313275
804	27423	313246
805	27457	313207
806	27490	313164
807	27523	313112
808	27559	313107
809	27595	313086
810	27630	313063
811	27664	313034
812	27699	313010
813	27735	312990
814	27769	312958
815	27805	312947
816	27838	312906
817	27878	312931
818	27914	312919
819	27945	312858
820	27981	312843
821	28016	312819
822	28052	312801
823	28087	312775
824	28121	312742
825	28155	312709
826	28189	312674
827	28222	312633
828	28260	312639
829	28289	312551
830	28326	312543
831	28357	312473
832	28388	312408
833	28421	312360
834	28455	312326
835	28488	312285
836	28520	312225
837	28553	312179
838	28586	312136
839	28619	312091
840	28651	312029
841	28683	311976
842	28721	311988
843	28753	311923
844	28788	311907
845	28823	311884
846	28859	311871
847	28894	311844
848	28928	311810
849	28962	311772
850	28998	311760
851	29035	311757
852	29064	311672
853	29099	311640
854	29135	311625
855	29170	311603
856	29205	311585
857	29241	311563
858	29275	311530
859	29308	311491
860	29340	311431
861	29377	311425
862	29415	311437
863	29451	311419
864	29487	311408
865	29522	311383
866	29556	311352
867	29589	311300
868	29618	311216
869	29650	311159
870	29687	311154
871	29719	311095
872	29753	311061
873	29785	311013
874	29817	310952
875	29849	310902
876	29880	310835
877	29918	310835
878	29952	310805
879	29986	310770
880	30020	310736
881	30054	310701
882	30087	310657
883	30126	310665
884	30162	310652
885	30197	310627
886	30228	310569
887	30258	310492
888	30293	310466
889	30326	310416
890	30361	310391
891	30395	310360
892	30429	310329
893	30466	310319
894	30503	310321
895	30540	310315
896	30579	310333
897	30611	310270
898	30644	310225
899	30677	310183
900	30709	310132
901	30744	310098
902	30777	310061
903	30810	310013
904	30846	310003
905	30882	309986
906	30918	309964
907	30950	309915
908	30983	309868
909	31017	309829
910	31050	309789
911	31081	309725
912	31115	309688
913	31146	309628
914	31179	309577
915	31215	309567
916	31248	309518
917	31284	309504
918	31317	309462
919	31352	309435
920	31387	309408
921	31418	309343
922	31449	309283
923	31486	309279
924	31518	309226
925	31554	309210
926	31587	309159
927	31628	309193
928	31662	309165
929	31697	309132
930	31730	309093
931	31763	309042
932	31795	308992
933	31828	308945
934	31864	308929
935	31902	308936
936	31936	308903
937	31970	308871
938	32005	308841
939	32038	308800
940	32073	308771
941	32109	308751
942	32144	308731
943	32177	308686
944	32209	308634
945	32243	308599
946	32279	308583
947	32314	308554
948	32345	308496
949	32377	308434
950	32409	308384
951	32443	308345
952	32475	308298
953	32514	308309
954	32546	308256
955	32581	308224
956	32613	308170
957	32650	308172
958	32685	308145
959	32720	308119
960	32753	308071
961	32786	308027
962	32822	308015
963	32857	307991
964	32890	307942
965	32923	307899
966	32958	307872
967	32993	307845
968	33026	307808
969	33062	307786
970	33099	307777
971	33139	307805
972	33174	307777
973	33205	307711
974	33238	307670
975	33272	307633
976	33306	307596
977	33336	307531
978	33371	307499
979	33403	307452
980	33438	307419
981	33469	307364
982	33505	307341
983	33538	307302
984	33572	307268
985	33605	307225
986	33640	307191
987	33673	307153
988	33710	307142
989	33745	307113
990	33779	307079
991	33810	307019
992	33843	306980
993	33875	306922
994	33907	306871
995	33937	306797
996	33973	306781
997	34005	306730
998	34039	306692
999	34071	306641
1000	34106	306617
1001	34138	306562
1002	34172	306526
1003	34205	306489
1004	34242	306477
1005	34276	306440
1006	34309	306399
1007	34343	306365
1008	34375	306311
1009	34407	306264
1010	34442	306236
1011	34474	306183
1012	34509	306159
1013	34542	306109
1014	34572	306043
1015	34608	306028
1016	34639	305966
1017	34673	305928
1018	34709	305914
1019	34746	305902
1020	34785	305917
1021	34820	305888
1022	34855	305861
1023	34895	305877
1024	34930	305855
1025	34964	305824
1026	35001	305813
1027	35034	305770
1028	35066	305713
1029	35100	305684
1030	35139	305693
1031	35171	305636
1032	35208	305631
1033	35243	305602
1034	35277	305569
1035	35312	305540
1036	35342	305475
1037	35378	305452
1038	35410	305401
1039	35441	305343
1040	35474	305298
1041	35512	305302
1042	35543	305237
1043	35574	305178
1044	35611	305169
1045	35648	305160
1046	35686	305155
1047	35727	305179
1048	35766	305188
1049	35811	305253
1050	35851	305265
1051	35888	305255
1052	35920	305204
1053	35956	305188
1054	35987	305126
1055	36020	305084
1056	36060	305097
1057	36093	305055
1058	36122	304979
1059	36152	304911
1060	36183	304851
1061	36215	304797
1062	36247	304747
1063	36279	304694
1064	36313	304658
1065	36346	304617
1066	36384	304617
1067	36422	304610
1068	36452	304545
1069	36484	304494
1070	36523	304501
1071	36557	304459
1072	36587	304394
1073	36619	304344
1074	36649	304273
1075	36681	304226
1076	36712	304160
1077	36747	304138
1078	36784	304132
1079	36823	304132
1080	36856	304094
1081	36890	304055
1082	36924	304025
1083	36954	303953
1084	36994	303969
1085	37032	303966
1086	37065	303920
1087	37098	303880
1088	37133	303856
1089	37166	303811
1090	37198	303762
1091	37230	303709
1092	37266	303687
1093	37301	303659
1094	37337	303641
1095	37366	303571
1096	37403	303557
1097	37432	303483
1098	37463	303425
1099	37495	303372
1100	37526	303312
1101	37561	303287
1102	37591	303222
1103	37624	303180
1104	37657	303137
1105	37690	303090
1106	37723	303046
1107	37754	302992
1108	37787	302946
1109	37821	302909
1110	37852	302850
1111	37886	302820
1112	37917	302758
1113	37951	302729
1114	37989	302724
1115	38029	302740
1116	38066	302727
1117	38104	302723
1118	38138	302686
1119	38171	302646
1120	38206	302621
1121	38242	302597
1122	38275	302560
1123	38309	302519
1124	38340	302463
1125	38378	302461
1126	38409	302404
1127	38442	302361
1128	38475	302318
1129	38508	302276
1130	38541	302230
1131	38574	302190
1132	38603	302117
1133	38634	302054
1134	38670	302040
1135	38703	301993
1136	38737	301959
1137	38770	301916
1138	38802	301867
1139	38841	301869
1140	38875	301839
1141	38911	301820
1142	38945	301784
1143	38982	301772
1144	39017	301743
1145	39050	301701
1146	39085	301679
1147	39120	301648
1148	39155	301625
1149	39189	301589
1150	39223	301551
1151	39257	301516
1152	39292	301492
1153	39324	301438
1154	39358	301408
1155	39391	301367
1156	39428	301357
1157	39465	301341
1158	39497	301295
1159	39531	301259
1160	39566	301228
1161	39604	301228
1162	39637	301187
1163	39670	301141
1164	39700	301080
1165	39732	301025
1166	39762	300965
1167	39797	300931
1168	39832	300910
1169	39866	300869
1170	39900	300838
1171	39936	300821
1172	39970	300787
1173	40005	300758
1174	40037	300705
1175	40071	300675
1176	40104	300630
1177	40140	300608
1178	40173	300571
1179	40211	300567
1180	40244	300523
1181	40279	300496
1182	40311	300442
1183	40347	300428
1184	40380	300380
1185	40414	300348
1186	40444	300284
1187	40478	300248
1188	40513	300225
1189	40550	300208
1190	40581	300153
1191	40617	300135
1192	40654	300118
1193	40685	300064
1194	40724	300064
1195	40761	300052
1196	40796	300025
1197	40828	299978
1198	40867	299978
1199	40897	299915
1200	40934	299901
1201	40965	299849
1202	41000	299815
1203	41034	299786
1204	41064	299721
1205	41098	299687
1206	41129	299627
1207	41162	299588
1208	41194	299535
1209	41222	299456
1210	41259	299449
1211	41294	299420
1212	41330	299399
1213	41364	299366
1214	41396	299313
1215	41428	299268
1216	41463	299240
1217	41494	299183
1218	41530	299161
1219	41565	299135
1220	41600	299111
1221	41637	299093
1222	41667	299028
1223	41699	298980
1224	41730	298924
1225	41766	298906
1226	41798	298860
1227	41829	298803
1228	41862	298762
1229	41894	298713
1230	41923	298641
1231	41958	298614
1232	41988	298552
1233	42023	298520
1234	42059	298506
1235	42092	298461
1236	42129	298449
1237	42163	298414
1238	42198	298385
1239	42227	298320
1240	42261	298281
1241	42291	298222
1242	42328	298207
1243	42364	298184
1244	42398	298148
1245	42430	298102
1246	42467	298088
1247	42499	298040
1248	42534	298016
1249	42569	297987
1250	42599	297926
1251	42631	297877
1252	42666	297849
1253	42700	297814
1254	42734	297778
1255	42769	297748
1256	42797	297675
1257	42827	297616
1258	42861	297578
1259	42896	297554
1260	42928	297502
1261	42964	297481
1262	42999	297458
1263	43036	297443
1264	43071	297412
1265	43105	297379
1266	43137	297332
1267	43173	297313
1268	43208	297285
1269	43245	297271
1270	43280	297241
1271	43312	297193
1272	43345	297153
1273	43389	297184
1274	43420	297132
1275	43453	297094
1276	43490	297078
1277	43526	297053
1278	43561	297026
1279	43599	297021
1280	43634	296994
1281	43667	296953
1282	43702	296927
1283	43737	296894
1284	43770	296858
1285	43807	296843
1286	43838	296788
1287	43871	296743
1288	43907	296724
1289	43940	296684
1290	43974	296650
1291	44008	296617
1292	44041	296570
1293	44076	296546
1294	44109	296503
1295	44148	296506
1296	44182	296470
1297	44213	296416
1298	44246	296372
1299	44281	296346
1300	44313	296300
1301	44346	296255
1302	44377	296198
1303	44408	296144
1304	44440	296100
1305	44474	296067
1306	44508	296030
1307	44542	295993
1308	44571	295928
1309	44603	295883
1310	44638	295852
1311	44675	295842
1312	44705	295775
1313	44735	295714
1314	44763	295646
1315	44797	295611
1316	44831	295577
1317	44867	295551
1318	44898	295496
1319	44933	295471
1320	44968	295442
1321	45003	295413
1322	45035	295368
1323	45070	295339
1324	45104	295304
1325	45136	295261
1326	45170	295225
1327	45202	295175
1328	45233	295123
1329	45268	295094
1330	45302	295061
1331	45335	295023
1332	45368	294981
1333	45402	294943
1334	45438	294922
1335	45471	294883
1336	45501	294826
1337	45537	294803
1338	45570	294763
1339	45605	294736
1340	45639	294701
1341	45672	294657
1342	45706	294623
1343	45737	294571
1344	45771	294539
1345	45805	294502
1346	45836	294448
1347	45872	294428
1348	45911	294422
1349	45943	294377
1350	45977	294342
1351	46010	294302
1352	46047	294285
1353	46078	294235
1354	46110	294189
1355	46145	294162
1356	46179	294127
1357	46212	294088
1358	46247	294060
1359	46286	294057
1360	46320	294024
1361	46359	294021
1362	46392	293978
1363	46426	293941
1364	46463	293927
1365	46493	293871
1366	46530	293856
1367	46570	293854
1368	46601	293802
1369	46636	293775
1370	46669	293737
1371	46699	293678
1372	46732	293635
1373	46763	293585
1374	46802	293581
1375	46835	293540
1376	46867	293491
1377	46899	293445
1378	46927	293372
1379	46959	293324
1380	46990	293274
1381	47024	293242
1382	47060	293220
1383	47093	293179
1384	47125	293133
1385	47159	293093
1386	47195	293076
1387	47232	293061
1388	47263	293006
1389	47294	292956
1390	47331	292937
1391	47362	292884
1392	47396	292850
1393	47431	292821
1394	47467	292798
1395	47501	292764
1396	47534	292727
1397	47563	292664
1398	47599	292639
1399	47637	292629
1400	47670	292590
1401	47703	292547
1402	47736	292512
1403	47767	292456
1404	47801	292422
1405	47834	292379
1406	47872	292370
1407	47905	292334
1408	47937	292288
1409	47971	292253
1410	48008	292236
